,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
heart,697251.0,693999.0,681940.0,649407.0,648890.0,628693.0,613048.0,613928.0,596503.0,594853.0,592891.0,595768.0,607048.0,609922.0,628849.0,629474.0
cancer_all,567444.0,570570.0,570465.0,567468.0,573022.0,574010.0,577079.0,579939.0,582233.0,589660.0,591688.0,597679.0,600113.0,607739.0,612207.0,613832.0
cancer_lung,155973.0,157630.0,157992.0,158009.0,159220.0,158600.0,158686.0,158592.0,158086.0,158249.0,156957.0,157426.0,156178.0,155529.0,153722.0,148870.0
cancer_anal,84671.0,84412.0,83870.0,81639.0,81193.0,81477.0,81474.0,81367.0,80373.0,81471.0,80926.0,81034.0,81381.0,81668.0,82958.0,83551.0
cancer_breast,41809.0,41883.0,42000.0,41316.0,41491.0,41210.0,40970.0,41026.0,41078.0,41435.0,41374.0,41557.0,41325.0,41678.0,41987.0,41952.0
loresp,123013.0,124816.0,126382.0,121987.0,130933.0,124583.0,127924.0,141090.0,137353.0,138080.0,142943.0,143489.0,149205.0,147101.0,155041.0,154596.0
accident,99959.0,105108.0,107629.0,110386.0,116118.0,119876.0,121862.0,120001.0,116239.0,119147.0,124585.0,125846.0,128676.0,134135.0,144717.0,159340.0
stroke,127960.0,126190.0,121778.0,115031.0,109764.0,106729.0,105288.0,104979.0,102221.0,102634.0,100977.0,99911.0,99776.0,100484.0,100908.0,101328.0
alzheimer,53852.0,58866.0,63457.0,65965.0,71599.0,72432.0,74632.0,82435.0,79003.0,83494.0,84974.0,83637.0,84767.0,93541.0,110561.0,116103.0
diabetes,71372.0,73249.0,74219.0,73138.0,75119.0,72449.0,71382.0,70553.0,68705.0,69071.0,73831.0,73932.0,75578.0,76488.0,79535.0,80058.0
influpneu,62034.0,65681.0,65163.0,59664.0,63001.0,56326.0,52717.0,56284.0,53692.0,50097.0,53826.0,50636.0,56979.0,55227.0,57062.0,51537.0
kidney,41573.0,43118.0,44713.0,44750.0,46135.0,47508.0,48648.0,50506.0,51275.0,53117.0,48696.0,49162.0,51058.0,52646.0,55221.0,56021.0
suicide,30545.0,31595.0,31422.0,32363.0,32559.0,33200.0,34529.0,35969.0,36837.0,38307.0,39442.0,40531.0,41060.0,42756.0,44145.0,44876.0
homicide_all,17182.0,17442.0,17510.0,17165.0,17887.0,18313.0,18126.0,17580.0,16550.0,16008.0,16010.0,16443.0,15863.0,15625.0,17525.0,19103.0
homicide_firearm,11348.0,11829.0,11920.0,11624.0,12352.0,12791.0,12632.0,12179.0,11493.0,11078.0,11068.0,11622.0,11207.0,11008.0,12974.0,14415.0
homicide_legmil,395.0,385.0,424.0,380.0,421.0,449.0,415.0,386.0,399.0,412.0,491.0,549.0,514.0,513.0,528.0,548.0
overdose,14078.0,17550.0,19457.0,20950.0,23618.0,27531.0,29846.0,31116.0,31758.0,33041.0,36280.0,36332.0,38851.0,42032.0,47478.0,58335.0
terrorism,2922.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0
