,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
heart,0.0024467612621171314,0.0024128588763780512,0.002350642372816465,0.0022178799510656393,0.0021957819025928893,0.0021070218694883187,0.0020351410669081174,0.0020188759680946776,0.0019444535871514985,0.0019266772367087619,0.0019027804241789747,0.0018978698754601735,0.0019202550514538788,0.001912838334679977,0.0019564784663200496,0.001948066861146547
cancer_all,0.00199124848529553,0.0019837274824531766,0.0019663888336345415,0.0019380387031111739,0.0019390518229400664,0.0019237555107262025,0.0019157344477924586,0.0019071045954262655,0.0018979368844883853,0.0019098575604354115,0.0018989196051577984,0.001903957529265013,0.0018983177931450946,0.0019059920066501557,0.0019047017844194601,0.001899658726986829
cancer_lung,0.0005473333051314309,0.0005480396148747652,0.000544597310270726,0.0005396384596838818,0.0005387853018706404,0.0005315371230486856,0.0005267913692620831,0.0005215230084506182,0.0005153216157813654,0.0005125547757713668,0.0005037261605216801,0.0005014939758667691,0.0004940327509949195,0.00048777029415965004,0.000478260731590017,0.00046071595271430816
cancer_anal,0.00029712359369110934,0.0002934791598731756,0.00028909929877718996,0.0002788166763294017,0.00027474937203104456,0.0002730646290960767,0.0002704699848711226,0.00026757189914120163,0.0002619962819300614,0.00026387749772111685,0.0002597179053267932,0.0002581407317748515,0.00025742985125124895,0.0002561273099128156,0.000258099385717364,0.000258569749212287
cancer_breast,0.00014671422716906128,0.00014561659068578183,0.000144773703930392,0.00014110400420418623,0.00014040158874459703,0.00013811251475937162,0.0001360084846720413,0.00013491224617064582,0.00013390421247338113,0.0001342043686474264,0.00013278264853064208,0.00013238337476081033,0.00013072201868934838,0.00013071060908245984,0.00013063018525175346,0.00012983109859790863
loresp,0.0004316715833133472,0.0004339536418842143,0.0004356378630983524,0.0004166147294233727,0.0004430647904147002,0.0004175314590212762,0.0004246704757917064,0.00046396843007401203,0.0004477371170908106,0.00044722913534057284,0.00045875066778449194,0.0004570964713779607,0.00047197528853101567,0.00046133838731798367,0.0004823644116421061,0.00047843651122335716
accident,0.00035077154281595423,0.0003654339138505161,0.00037099640429343294,0.00037699454468204346,0.0003929322426995037,0.00040175626836433967,0.00040454639880654853,0.0003946181556262778,0.0003789106517769451,0.0003859067916311072,0.0003998338634695715,0.00040089318719226444,0.0004070365753628699,0.000420674397746431,0.0004502443260789765,0.0004931180218008858
stroke,0.00044903136904860387,0.00043873069213377284,0.00041976790755322087,0.0003928583286768261,0.0003714309124138235,0.00035769499120972994,0.0003495255390322159,0.00034521895117116527,0.0003332154073528773,0.0003324226178776388,0.0003240680983390208,0.00031827502841223667,0.0003156181521294234,0.00031513807867560565,0.00031394552440955386,0.00031358518208259164
alzheimer,0.00018897497097534712,0.00020466218339921288,0.0002187358316740687,0.00022528622415841668,0.00024228419060818982,0.00024275092620846406,0.0002477565347338,0.0002710839714590062,0.00025753041769400965,0.00027042981913474645,0.0002727092564471112,0.0002664328107146785,0.0002681406741255897,0.00029336343116709957,0.0003439779910834095,0.0003593101649626474
diabetes,0.0002504553522330178,0.0002546682341556917,0.0002558323698097563,0.0002497837317137616,0.00025419553505351487,0.00024280790055330534,0.0002369674799331133,0.00023201052269481728,0.00022396146156053486,0.00022371497397964015,0.0002369477382816705,0.00023551670387218104,0.0002390734114580417,0.00023988178577424992,0.0002474497292971208,0.00024775977525627786
influpneu,0.00021768687048734836,0.00022835621356714745,0.0002246164016480032,0.00020376680479326572,0.0002131893782386146,0.0001887727616194216,0.0001750051082854772,0.00018508752653119068,0.00017502276099422512,0.00016225983482877088,0.00017274517425944655,0.00016130530510836662,0.0001802398040629251,0.00017320300416999397,0.00017753160813669842,0.0001594943108419245
kidney,0.00014588606678225707,0.00014991037311533418,0.0001541253958057052,0.00015283193407244976,0.0001561164420412134,0.0001592198338070427,0.00016149721167501747,0.0001660868206770009,0.00016714393336025646,0.00017204135270774344,0.0001562813325481739,0.00015660975214743498,0.00016151009873540832,0.00016510846791485144,0.00017180387881456351,0.0001733711855109039
