,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
heart,0.3283069361824639,0.3216502283553147,0.3164459528333956,0.3120044561853399,0.3071330034440656,0.2990947116903597,0.29450529700152767,0.28889791593238967,0.2826072325191379,0.2793209974839963,0.2756740693909505,0.27284907396449976,0.26986894156877755,0.27012170184905926,0.27105415206944866,0.2689141357581615,0.2681175208054155,0.26516014101457536
cancer_all,0.256094737746963,0.2574503988266917,0.2575333090373385,0.25651388916362905,0.256926751341348,0.261356403385712,0.2600718369807046,0.26376990474579964,0.2660259867659817,0.26385690172116494,0.26907918391642843,0.27046713213837187,0.2693213664888603,0.27098815082287714,0.2679575920863804,0.2679516527548265,0.2610219990168085,0.25857109218054886
cancer_lung,0.06916170265602806,0.07061976704668335,0.07078802985048886,0.07086647448842884,0.07115663765160396,0.07277355541206369,0.07226360922280084,0.07288010120500309,0.07315220227377288,0.0721551641772031,0.07305950000878085,0.07258615675773362,0.07144284440446999,0.07137707804932457,0.06973533454010615,0.0685726152201939,0.06554126910156505,0.06271012018421704
cancer_anal,0.03844889089213016,0.03870181866425317,0.03842776169895266,0.03794950735594275,0.03777347713707039,0.03760013853821914,0.03685026519047148,0.03744042878865092,0.03755846469161345,0.037019832296751945,0.03714440996802844,0.037369378493445876,0.03683546210921551,0.036740882336138675,0.036337584424236305,0.0360073577262298,0.035370165637499076,0.03519509136502665
cancer_breast,0.01888787665572515,0.019218921232409918,0.018974929891834413,0.018829541020103185,0.018916013351102375,0.019028740232548927,0.01883111047772409,0.01893687875572621,0.018886642344986167,0.01866574458695227,0.018984212019791127,0.019005538140883627,0.018832395142558418,0.018841978024568884,0.01845210400869448,0.018375797807143626,0.017901674879115623,0.017671894686426232
loresp,0.05648033642324708,0.055434547532981125,0.05582920066933499,0.05611412725843897,0.056920085698548104,0.056183050991091735,0.059425267845553215,0.0572485602044319,0.05897131645936076,0.0641922172225685,0.06347773683125689,0.06333497541916763,0.06506402713933214,0.0650580307714071,0.06662180710507586,0.06485671657058002,0.06610364100633447,0.06512214509302892
accident,0.04388402203343038,0.04387320782423638,0.04536618950603641,0.047253907254518675,0.048474085737280896,0.050840026123297175,0.05270133008248454,0.05508559276198581,0.056176812532211476,0.05459728016815822,0.05371989437091632,0.05465072650831088,0.05670793128137576,0.05705868004138643,0.05745536443854255,0.05914001724797759,0.06170187637794974,0.06712051152114692
stroke,0.059725496313889515,0.05975948633230287,0.058074386590426255,0.05673184302286897,0.054846530330251074,0.052979354673500234,0.04981750284343369,0.04904426432224952,0.048536411989721834,0.04776266760087901,0.047241470784241416,0.04707649092678774,0.0459621686158003,0.04529972968242899,0.04455117070953419,0.04430331750211191,0.043023369345316385,0.042683489339869304
alzheimer,0.020255983306188,0.022516579159238076,0.024440621027411964,0.02646466971538319,0.028579844267164367,0.030381228808212073,0.0324959311439726,0.0332840573170289,0.03440439081012955,0.037505744040984015,0.03651126399044643,0.03829729459478551,0.038678009011547325,0.03792108467985821,0.03784947369643085,0.04124215419833058,0.047139044854595524,0.04890732238696951
diabetes,0.031109417149271443,0.031486772111755074,0.03239203750962725,0.0329309039510431,0.03342684749774922,0.03368486792352027,0.034093518786632186,0.0332918691815969,0.03290618266706865,0.03209974839963056,0.03175203970056355,0.031681706888595944,0.03360599810920459,0.03352082968723504,0.03374647590487868,0.033723499752214635,0.033910727403969346,0.03372369719693724
influpneu,0.028985850011302345,0.029674832209276334,0.02815400514028214,0.029528521923964313,0.029348194714235335,0.027479203147323054,0.028593641782726265,0.025883004921015158,0.02430185805468967,0.025607730910447556,0.02481377651703163,0.022978651966787667,0.024500229635600848,0.02295840410164521,0.025441801193258385,0.02434954137662846,0.024329086906711497,0.02170948790175316
kidney,0.017120435683750868,0.017887681534751263,0.018867821770270327,0.01938476588842273,0.020137897737329536,0.02061032349226848,0.02093883690173293,0.021830944817448215,0.02242610145957742,0.02297889377732685,0.023696759124465408,0.024363875212484988,0.02216518378358449,0.022290091287721817,0.02279800427043975,0.023211580482625924,0.023544153869046222,0.023598331717874805
suicide,0.013271726083944805,0.013321029588960434,0.013862786327012894,0.014204315558344918,0.014151880274246163,0.014905293836430945,0.014777231834475397,0.015256111979861932,0.015917424298999935,0.016364943378542537,0.017024232391378492,0.017570777110240837,0.017952997757354597,0.01837678877959914,0.01833377835685409,0.01885108716930354,0.01882176477334792,0.01890360283056978
homicide_all,0.00761782522892363,0.007537633646469989,0.007798015867432823,0.007841483524882167,0.007886176042328634,0.007905613469157285,0.008118196069389768,0.008415216225518421,0.00835585255419134,0.007998434891011088,0.0076485882693301315,0.007342600568583687,0.007287345826663128,0.007455269741751959,0.0070830181703550035,0.006889050355982033,0.0074719997203063155,0.008046963296024034
homicide_firearm,0.004924820083514542,0.00490741296054987,0.005150266794530769,0.005318020216479254,0.00536854474155096,0.005353617883220756,0.005606080273332722,0.005877738805253433,0.005823189311737009,0.005541122783710127,0.005311493956459892,0.005081292422461899,0.005037872805091037,0.005269424371382428,0.005004058793114072,0.004853418644393614,0.005531624785806228,0.006072186353566793
homicide_legmil,0.00018147425316977303,0.0001635652870843397,0.00017926994922802728,0.00017308629498220582,0.00019096165859208112,0.00017501503747624633,0.0001910751129430923,0.00020632512888427734,0.00019130965519085328,0.0001756197877093447,0.00018439798909140317,0.0001889774759030784,0.00022349074334113655,0.00024891705213293347,0.00022950711338097914,0.0002261813012876021,0.00022511930683718885,0.00023083996682307339
overdose,0.005542469296057279,0.005796117687041449,0.006389271760081438,0.007890037602435616,0.008763068375533308,0.009648855355598316,0.010719268450094903,0.01265108490715599,0.013758621611629414,0.014156956772963651,0.014676970770839053,0.015155351410955373,0.01651373557722288,0.01647295872148222,0.017347433583588368,0.018531876132008754,0.020242830397757674,0.02457308296464231
terrorism,0.0,0.0,0.0013261437763146728,4.495747921615736e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3395356812119403e-06,0.0,2.1318116177764096e-06,0.0
