,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
heart,721835,707938,697251,693999,681940,649407,648890,628693,613048,613928,596503,594853,592891,595768,607048,609922,628849,629474
cancer_all,563065,566637,567444,570570,570465,567468,573022,574010,577079,579939,582233,589660,591688,597679,600113,607739,612207,613832
cancer_lung,152063,155431,155973,157630,157992,158009,159220,158600,158686,158592,158086,158249,156957,157426,156178,155529,153722,148870
cancer_anal,84536,85181,84671,84412,83870,81639,81193,81477,81474,81367,80373,81471,80926,81034,81381,81668,82958,83551
cancer_breast,41528,42300,41809,41883,42000,41316,41491,41210,40970,41026,41078,41435,41374,41557,41325,41678,41987,41952
loresp,124181,122009,123013,124816,126382,121987,130933,124583,127924,141090,137353,138080,142943,143489,149205,147101,155041,154596
accident,96486,96563,99959,105108,107629,110386,116118,119876,121862,120001,116239,119147,124585,125846,128676,134135,144717,159340
stroke,131316,131528,127960,126190,121778,115031,109764,106729,105288,104979,102221,102634,100977,99911,99776,100484,100908,101328
alzheimer,44536,49558,53852,58866,63457,65965,71599,72432,74632,82435,79003,83494,84974,83637,84767,93541,110561,116103
diabetes,68399,69301,71372,73249,74219,73138,75119,72449,71382,70553,68705,69071,73831,73932,75578,76488,79535,80058
influpneu,63730,65313,62034,65681,65163,59664,63001,56326,52717,56284,53692,50097,53826,50636,56979,55227,57062,51537
kidney,37642,39370,41573,43118,44713,44750,46135,47508,48648,50506,51275,53117,48696,49162,51058,52646,55221,56021
suicide,29180,29319,30545,31595,31422,32363,32559,33200,34529,35969,36837,38307,39442,40531,41060,42756,44145,44876
homicide_all,16749,16590,17182,17442,17510,17165,17887,18313,18126,17580,16550,16008,16010,16443,15863,15625,17525,19103
homicide_firearm,10828,10801,11348,11829,11920,11624,12352,12791,12632,12179,11493,11078,11068,11622,11207,11008,12974,14415
homicide_legmil,399,360,395,385,424,380,421,449,415,386,399,412,491,549,514,513,528,548
overdose,12186,12757,14078,17550,19457,20950,23618,27531,29846,31116,31758,33041,36280,36332,38851,42032,47478,58335
terrorism,0,0,2922,1,0,0,0,0,0,0,0,0,0,0,3,0,5,0
