Words,
heart disease,heart disease
heart failure,
cardiovascular disease,
cancer,cancer
malignant neoplasms,
respiratory disease,respiratory disease
bronchitis,
emphysema,
asthma,
unintentional injuries,accidents
car accident,
pileup,
car crash,
stroke,stroke
cerebrovascular diseases,
alzheimer's disease,alzheimer's
diabetes,diabetes
Influenza,influenza and pneumonia
pneumonia,
flu,
kidney disease,kidney disease
nephrosis,
nephritis,
nephrotic syndrome,
suicide,suicide
self-harm,
homicide,homicide
murder,
manslaughter,
assassination,
terrorism,terrorism
terrorist,
terror attack,
shootings,shootings
gun violence,
knife attack,
knifing,
lynching,
drug overdose,overdose
