,Words,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,heart disease,242.0,234.0,249.0,304.0,250.0,322.0,300.0,423.0,426.0,365.0,401.0,322.0,328.0,402.0,355.0,270.0,290.0,305.0
1,heart failure,162.0,102.0,145.0,139.0,120.0,177.0,233.0,265.0,252.0,285.0,280.0,239.0,243.0,205.0,188.0,159.0,186.0,196.0
2,cardiovascular disease,33.0,33.0,32.0,50.0,49.0,61.0,48.0,73.0,71.0,81.0,78.0,61.0,59.0,70.0,82.0,70.0,97.0,76.0
3,cancer,2908.0,3068.0,2775.0,2931.0,2572.0,2609.0,2661.0,3417.0,3999.0,4019.0,4609.0,4161.0,4239.0,3895.0,3137.0,3300.0,3184.0,3128.0
4,malignant neoplasms,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,respiratory disease,5.0,4.0,1.0,7.0,120.0,8.0,16.0,11.0,16.0,12.0,26.0,15.0,13.0,17.0,11.0,11.0,13.0,15.0
6,bronchitis,35.0,29.0,34.0,26.0,26.0,27.0,28.0,55.0,49.0,27.0,21.0,29.0,14.0,35.0,36.0,36.0,25.0,30.0
7,emphysema,61.0,46.0,44.0,39.0,53.0,70.0,64.0,60.0,58.0,55.0,58.0,46.0,51.0,38.0,42.0,41.0,29.0,24.0
8,asthma,237.0,247.0,290.0,184.0,221.0,215.0,180.0,243.0,332.0,209.0,274.0,291.0,245.0,243.0,191.0,210.0,142.0,202.0
9,unintentional injuries,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0,3.0,2.0,4.0
10,car accident,142.0,152.0,191.0,185.0,155.0,174.0,164.0,232.0,293.0,231.0,288.0,284.0,348.0,257.0,173.0,215.0,188.0,191.0
11,pileup,25.0,26.0,38.0,29.0,34.0,36.0,41.0,41.0,55.0,47.0,47.0,59.0,88.0,66.0,60.0,58.0,55.0,54.0
12,car crash,83.0,109.0,101.0,104.0,99.0,89.0,91.0,122.0,201.0,117.0,151.0,178.0,143.0,198.0,136.0,145.0,137.0,197.0
13,stroke,822.0,803.0,719.0,732.0,712.0,740.0,728.0,1012.0,1028.0,1088.0,1079.0,1161.0,1211.0,1226.0,1012.0,827.0,838.0,1171.0
14,cerebrovascular diseases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,alzheimer's disease,141.0,145.0,159.0,167.0,143.0,198.0,163.0,170.0,230.0,236.0,325.0,260.0,271.0,247.0,239.0,250.0,226.0,234.0
16,diabetes,332.0,358.0,456.0,441.0,473.0,482.0,472.0,724.0,798.0,709.0,802.0,764.0,617.0,732.0,618.0,529.0,519.0,555.0
17,Influenza,64.0,55.0,49.0,40.0,130.0,181.0,209.0,188.0,93.0,70.0,330.0,55.0,48.0,68.0,94.0,89.0,49.0,46.0
18,pneumonia,178.0,151.0,172.0,159.0,269.0,205.0,245.0,268.0,267.0,268.0,301.0,261.0,248.0,267.0,257.0,216.0,230.0,392.0
19,flu,234.0,255.0,213.0,195.0,281.0,431.0,535.0,591.0,393.0,252.0,1647.0,318.0,273.0,288.0,338.0,286.0,248.0,233.0
20,kidney disease,30.0,21.0,31.0,41.0,58.0,40.0,51.0,57.0,42.0,61.0,71.0,47.0,62.0,58.0,56.0,41.0,44.0,38.0
21,nephrosis,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,nephritis,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,5.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0
23,nephrotic syndrome,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,2.0,2.0
24,suicide,908.0,910.0,1332.0,2009.0,1839.0,1593.0,1813.0,2115.0,2372.0,1869.0,2099.0,1936.0,1947.0,1826.0,1623.0,1701.0,1800.0,2464.0
25,self-harm,0.0,0.0,0.0,2.0,3.0,6.0,1.0,3.0,2.0,5.0,6.0,9.0,7.0,13.0,12.0,13.0,17.0,33.0
26,homicide,366.0,339.0,351.0,371.0,360.0,328.0,296.0,387.0,452.0,329.0,331.0,334.0,441.0,341.0,431.0,441.0,383.0,608.0
27,murder,2344.0,2238.0,2193.0,2344.0,2064.0,2042.0,2099.0,2840.0,3148.0,2353.0,2632.0,2508.0,2664.0,2679.0,2543.0,2706.0,3010.0,3670.0
