,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
heart disease,0.028937117417918753,0.033832013298132395,0.01909231507652925,0.021870244067414463,0.025627249771664966,0.031171679197994986,0.023377670294236194,0.02011034909503429,0.02328017138776482,0.020748478604628875,0.01685490877497828,0.020141055201410553,0.021467702892088165,0.020745022479126525,0.023578288550771556,0.02280014250089063,0.018707129494907503,0.02092946605141727
cancer,0.13611574846967167,0.16163097682604868,0.1115140525838622,0.11577701369708585,0.10723687745124376,0.11716791979949874,0.11729141475211609,0.12917031918733562,0.11820995001190193,0.12214289136997461,0.1313640312771503,0.13732537637325376,0.15785450375844057,0.1608863198458574,0.15533613898780618,0.14891343070894192,0.12429848264394097,0.12561799604482532
respiratory disease,0.025932109070673344,0.022978390534858707,0.014292571062876647,0.014993517840031565,0.015741685918444097,0.020676691729323307,0.014762192664248287,0.014335069354921879,0.013806236610330874,0.014279553404571373,0.012452939472922097,0.014512410145124102,0.013250095553573704,0.014258188824662813,0.013866407683176865,0.01526795256756069,0.013843275826231552,0.01577949901120633
unintentional injuries,0.020589872008903727,0.025031778625207782,0.015679163777931843,0.02260300997688969,0.021597807983667328,0.019997911445279865,0.01768440145102781,0.02041973908111174,0.03113544394191859,0.025875700800230005,0.030929626411815812,0.02882137528821375,0.02847496496368964,0.02594733461785485,0.032265026437897915,0.025599267138276757,0.026730409478278944,0.02797462096242584
stroke,0.059654980523094044,0.06521951696489685,0.0416511119406965,0.05022264810326363,0.053403535163595334,0.05445906432748538,0.05098750503829101,0.06265147218068375,0.056700785527255416,0.06181417413388279,0.06255430060816682,0.06144039061440391,0.06930819212638553,0.07154784842646114,0.06555519585626417,0.06178431472339559,0.051174392018291416,0.051334871456822674
alzheimer's,0.007011686143572621,0.008995795443434047,0.005013065969814943,0.004171129023166676,0.004244345350024176,0.005169172932330827,0.004081015719467957,0.0048471097818800594,0.005474886931682933,0.005318894053380613,0.004459889950767449,0.00522175505221755,0.005414702509873869,0.005908798972382788,0.004748030646379626,0.0028500178126113287,0.0004157139887757223,4.119973632168754e-05
diabetes,0.013466889259877574,0.020925002444509632,0.010719428297157486,0.01476805140634688,0.018911513458335572,0.021564327485380116,0.019397420395002016,0.017222709224978084,0.022137586288978814,0.019358857635727634,0.015117289313640312,0.021022650210226503,0.02356988151356861,0.025176621708413616,0.027031401748138555,0.02921268257926612,0.02311369777593016,0.02228905735003296
influenza and pneumonia,0.0436282693377852,0.04771682800430234,0.022772118820329583,0.022490276760047348,0.03309514855208725,0.026106934001670842,0.04771261588069327,0.049038312793275925,0.03770530825993811,0.029229958311370933,0.09081957717926441,0.037298250372982504,0.033762262708625305,0.03134232498394348,0.0318873421819359,0.028907323527914905,0.0229058407815423,0.022865853658536585
kidney disease,0.001335559265442404,0.002053388090349076,0.000746626846568183,0.0007327659094752269,0.001450599043679149,0.001148705096073517,0.0009068923821039903,0.0006703449698344763,0.0015710545108307545,0.0007666874311179261,0.0008108890819577179,0.0018310050183100502,0.0014651547967893998,0.0010276172125883109,0.0015646919175569224,0.0011705430301796528,0.0015381417584701725,0.0014007910349373763
suicide,0.09894268224819143,0.09856262833675565,0.10623433416884433,0.12992503241079983,0.14677913286412722,0.13805346700083543,0.14384320838371625,0.13123291909451865,0.13772911211616282,0.13503282380564474,0.12452939472922096,0.12301641123016412,0.12084341954389094,0.11438664097623635,0.10391712528326319,0.11674894396661407,0.12134691332363334,0.138843111404087
homicide,0.3500278241513634,0.3478048303510316,0.2171617513732601,0.2401781184826109,0.240906893031752,0.23866959064327486,0.2383111648528819,0.24477904398494302,0.26598428945489166,0.26996981168239975,0.24031277150304084,0.2718703377187034,0.29010064976430117,0.28901734104046245,0.2699902881191324,0.2681561402615909,0.23745583038869258,0.23059492419248517
terrorism,0.15136338341680577,0.13249242202014275,0.4806143672337475,0.4898258271799786,0.34540375006715734,0.32377819548872183,0.22082829504232165,0.30603826122827826,0.25146393715781956,0.1990033063395467,0.22988705473501303,0.25044079750440795,0.21747993374952224,0.18497109826589594,0.15700874069278084,0.168049264593618,0.18919143629183122,0.26182432432432434
shootings,0.041958820255982195,0.031974185978292755,0.02229214441896432,0.020122879206358153,0.023854295384946007,0.015037593984962405,0.017885933091495363,0.01758366420873511,0.02594620328493216,0.021898509751305764,0.026585577758470896,0.030652380306523803,0.03306153650146516,0.0581888246628131,0.041922952411783745,0.032418952618453865,0.06393681147370608,0.06138760711931444
overdose,0.001335559265442404,0.0013689253935660506,0.0006932963575275985,0.0014091652105292824,0.000752162467092892,0.0009398496240601503,0.0012091898428053204,0.0012375599443098025,0.001951916210426089,0.0022042263644640376,0.0018534607587604981,0.0012206700122067001,0.002038476239011339,0.0007064868336544637,0.0005935038307974533,0.0021884065346836987,0.0016628559551028891,0.0028015820698747526
