,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
heart disease,260.0,346.0,358.0,388.0,477.0,597.0,464.0,390.0,489.0,433.0,291.0,297.0,337.0,323.0,437.0,448.0,450.0,508.0
cancer,1223.0,1653.0,2091.0,2054.0,1996.0,2244.0,2328.0,2505.0,2483.0,2549.0,2268.0,2025.0,2478.0,2505.0,2879.0,2926.0,2990.0,3049.0
respiratory disease,233.0,235.0,268.0,266.0,293.0,396.0,293.0,278.0,290.0,298.0,215.0,214.0,208.0,222.0,257.0,300.0,333.0,383.0
unintentional injuries,185.0,256.0,294.0,401.0,402.0,383.0,351.0,396.0,654.0,540.0,534.0,425.0,447.0,404.0,598.0,503.0,643.0,679.0
stroke,536.0,667.0,781.0,891.0,994.0,1043.0,1012.0,1215.0,1191.0,1290.0,1080.0,906.0,1088.0,1114.0,1215.0,1214.0,1231.0,1246.0
alzheimer's,63.0,92.0,94.0,74.0,79.0,99.0,81.0,94.0,115.0,111.0,77.0,77.0,85.0,92.0,88.0,56.0,10.0,1.0
diabetes,121.0,214.0,201.0,262.0,352.0,413.0,385.0,334.0,465.0,404.0,261.0,310.0,370.0,392.0,501.0,574.0,556.0,541.0
influenza and pneumonia,392.0,488.0,427.0,399.0,616.0,500.0,947.0,951.0,792.0,610.0,1568.0,550.0,530.0,488.0,591.0,568.0,551.0,555.0
kidney disease,12.0,21.0,14.0,13.0,27.0,22.0,18.0,13.0,33.0,16.0,14.0,27.0,23.0,16.0,29.0,23.0,37.0,34.0
suicide,889.0,1008.0,1992.0,2305.0,2732.0,2644.0,2855.0,2545.0,2893.0,2818.0,2150.0,1814.0,1897.0,1781.0,1926.0,2294.0,2919.0,3370.0
homicide,3145.0,3557.0,4072.0,4261.0,4484.0,4571.0,4730.0,4747.0,5587.0,5634.0,4149.0,4009.0,4554.0,4500.0,5004.0,5269.0,5712.0,5597.0
terrorism,1360.0,1355.0,9012.0,8690.0,6429.0,6201.0,4383.0,5935.0,5282.0,4153.0,3969.0,3693.0,3414.0,2880.0,2910.0,3302.0,4551.0,6355.0
shootings,377.0,327.0,418.0,357.0,444.0,288.0,355.0,341.0,545.0,457.0,459.0,452.0,519.0,906.0,777.0,637.0,1538.0,1490.0
overdose,12.0,14.0,13.0,25.0,14.0,18.0,24.0,24.0,41.0,46.0,32.0,18.0,32.0,11.0,11.0,43.0,40.0,68.0
