,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
heart disease,437.0,369.0,426.0,493.0,419.0,560.0,581.0,761.0,749.0,731.0,759.0,622.0,630.0,677.0,625.0,499.0,573.0,577.0
cancer,2908.0,3068.0,2775.0,2931.0,2572.0,2609.0,2662.0,3417.0,3999.0,4019.0,4609.0,4161.0,4239.0,3895.0,3137.0,3300.0,3184.0,3128.0
respiratory disease,338.0,326.0,369.0,256.0,420.0,320.0,288.0,369.0,455.0,303.0,379.0,381.0,323.0,333.0,280.0,298.0,209.0,271.0
unintentional injuries,252.0,287.0,330.0,318.0,288.0,300.0,296.0,395.0,549.0,397.0,487.0,522.0,579.0,521.0,373.0,421.0,382.0,446.0
stroke,822.0,803.0,719.0,732.0,712.0,740.0,728.0,1012.0,1028.0,1088.0,1079.0,1161.0,1211.0,1226.0,1012.0,827.0,838.0,1171.0
alzheimer's,141.0,145.0,159.0,167.0,143.0,198.0,163.0,170.0,230.0,236.0,325.0,260.0,271.0,247.0,239.0,250.0,226.0,234.0
diabetes,332.0,358.0,456.0,441.0,473.0,482.0,472.0,724.0,798.0,709.0,802.0,764.0,617.0,732.0,618.0,529.0,519.0,555.0
influenza and pneumonia,476.0,461.0,434.0,394.0,680.0,817.0,989.0,1047.0,753.0,590.0,2278.0,634.0,569.0,623.0,689.0,591.0,527.0,671.0
kidney disease,30.0,25.0,31.0,41.0,59.0,42.0,53.0,59.0,44.0,66.0,74.0,48.0,65.0,60.0,60.0,47.0,46.0,41.0
suicide,908.0,910.0,1332.0,2011.0,1842.0,1599.0,1814.0,2118.0,2374.0,1874.0,2105.0,1945.0,1954.0,1839.0,1635.0,1714.0,1817.0,2497.0
homicide,3270.0,3108.0,3195.0,3349.0,3085.0,3051.0,3141.0,4065.0,4629.0,3559.0,3679.0,3623.0,4161.0,3984.0,3794.0,3898.0,4169.0,5285.0
terrorism,1360.0,1355.0,9012.0,8690.0,6429.0,6201.0,4383.0,5935.0,5282.0,4153.0,3969.0,3693.0,3414.0,2880.0,2910.0,3302.0,4551.0,6355.0
shootings,796.0,511.0,393.0,476.0,497.0,281.0,306.0,504.0,711.0,406.0,506.0,378.0,577.0,809.0,1477.0,813.0,1240.0,1911.0
overdose,35.0,22.0,26.0,23.0,24.0,31.0,29.0,26.0,50.0,34.0,47.0,52.0,58.0,43.0,33.0,54.0,56.0,92.0
