,Words,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,heart disease,0.108253932,0.099741411,0.093108816,0.088689351,0.082410423,0.081980788,0.0821822,0.078970562,0.079804844,0.078756843,0.071629912,0.070447568,0.067534827
1,cancer,0.121226036,0.129171284,0.132588085,0.134373031,0.136970684,0.136965883,0.139534884,0.140137493,0.1397456,0.141444464,0.134471895,0.134755211,0.128104179
2,respiratory disease,0.097462978,0.090013545,0.08306212,0.079552615,0.081921824,0.075852931,0.07641196,0.071567072,0.070047047,0.070987109,0.080749461,0.075779609,0.073440339
3,accidents,0.126506716,0.123753232,0.124239423,0.117359798,0.113192182,0.108976482,0.113481378,0.10153358,0.096184004,0.09358997,0.08688443,0.085635805,0.080405815
4,alzheimer's,0.114338193,0.103681813,0.111504174,0.101921865,0.101302932,0.091917854,0.066270327,0.070861978,0.054887611,0.045558891,0.046095175,0.04831152,0.052089643
5,pneumonia,0.059350247,0.066863687,0.06976086,0.074984247,0.082247557,0.092414707,0.091974121,0.105411599,0.109078237,0.110895285,0.109102968,0.115204395,0.112053301
6,kidney disease,0.092067501,0.097648073,0.110089147,0.11279143,0.111563518,0.116098046,0.12572128,0.119689759,0.127548353,0.136323503,0.129829216,0.136370981,0.136886735
7,suicide,0.027666169,0.030784386,0.030140088,0.029143037,0.02980456,0.027823783,0.029725476,0.028556319,0.029970378,0.029313085,0.029016747,0.034577476,0.058600848
8,homicide,0.0657789,0.065632311,0.063393236,0.080655325,0.082736156,0.08479629,0.082881623,0.092719901,0.093221816,0.10524457,0.106781628,0.099531427,0.097365233
9,terrorism,0.108139134,0.085703731,0.074713457,0.061121613,0.054560261,0.050844651,0.04808533,0.043010753,0.033803799,0.036376479,0.034985906,0.048796251,0.046638401
10,shooting,0.02456664,0.026228297,0.03127211,0.037492124,0.03762215,0.041901292,0.04476307,0.047065045,0.068827322,0.054034964,0.047587465,0.05800614,0.056480921
11,overdose,0.054643554,0.080778229,0.076128485,0.081915564,0.085667752,0.090427294,0.098968351,0.100475939,0.09688099,0.097474837,0.122865196,0.092583616,0.090399758
