Words,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
heart disease,0.086074046,0.07906047,0.07466973,0.072044256,0.066150974,0.065595897,0.064639321,0.063032368,0.064254167,0.062002275,0.057845655,0.056254136,0.05467968
cancer,0.098007893,0.103048476,0.105801264,0.108966937,0.109762603,0.110676205,0.112022631,0.111016468,0.112409175,0.112201365,0.108528179,0.109596294,0.105355355
car accidents,0.094155234,0.096751624,0.093624354,0.086839058,0.08348893,0.082062357,0.085148515,0.073821692,0.07166263,0.06612628,0.058521422,0.058504302,0.054554555
overdose,0.042943056,0.062868566,0.059735784,0.064453879,0.0677514,0.071264678,0.077652051,0.077512777,0.076364154,0.075369738,0.09663468,0.073726009,0.071571572
homicide,0.055910543,0.052073963,0.051809305,0.065097131,0.06655108,0.070454852,0.068175389,0.074531516,0.076791566,0.086461889,0.088390323,0.082594308,0.081581582
suicide,0.022740086,0.024987506,0.024468696,0.023800334,0.024406508,0.022675125,0.024186704,0.023140261,0.024362445,0.023606371,0.023651845,0.028325612,0.048673674
kidney disease,0.080060139,0.083158421,0.090982194,0.092756979,0.094291811,0.097584019,0.104384724,0.09951732,0.107992592,0.113481229,0.108663333,0.115949702,0.118243243
pneumonia,0.047923323,0.053673163,0.055025847,0.059565161,0.065217391,0.073559185,0.072560113,0.08205565,0.086479555,0.08688851,0.086903636,0.091197882,0.090215215
diabetes,0.101578651,0.102748626,0.105686387,0.107423131,0.104694585,0.103252801,0.107072136,0.103776263,0.103718478,0.104522184,0.101094743,0.102051621,0.096471471
stroke,0.1040218,0.108845577,0.112923607,0.112311849,0.115364097,0.113645566,0.122772277,0.135718342,0.137483972,0.137229807,0.131098797,0.129980146,0.13038038
respiratory disease,0.083067093,0.07876062,0.071797817,0.073459411,0.072552681,0.071129707,0.06874116,0.064735945,0.064396638,0.065984073,0.072442222,0.071608206,0.066816817
terrorism,0.088329261,0.067466267,0.060080414,0.048887174,0.04361163,0.040761236,0.038048091,0.033077797,0.027354324,0.028583618,0.0278416,0.039179351,0.037537538
alzheimer's,0.095188874,0.086556722,0.093394601,0.0843947,0.086156308,0.077338372,0.054596888,0.0580636,0.046730303,0.037542662,0.038383565,0.041032429,0.043918919
