,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Heart Disease,0.029105564,0.034210006,0.019180284,0.021975532,0.025768462,0.031335293,0.023509145,0.020255531,0.023468996,0.02106236,0.016994686,0.020299364,0.021674813,0.020883171,0.023744838,0.023029867,0.018919487,0.021152565
Cancer,0.136908094,0.16343682,0.11202786,0.116334391,0.107827778,0.11778291,0.117951056,0.130102836,0.119168746,0.123990661,0.132453425,0.138404757,0.159377412,0.161957716,0.156433384,0.150413818,0.125709481,0.126957029
Car Accidents,0.020709728,0.025311449,0.015751406,0.022711826,0.021716817,0.020102876,0.017783858,0.020567155,0.031387982,0.026169861,0.031186124,0.028979564,0.028749678,0.026120127,0.032329928,0.025857194,0.026991802,0.02818954
Overdose,0.001343334,0.00138422,0.000696491,0.001415949,0.000756307,0.000944783,0.00121599,0.001246494,0.001967748,0.002237572,0.001868831,0.001230265,0.002058143,0.000711192,0.000597696,0.002210456,0.001681732,0.002831446
Homicide,0.352065376,0.351690726,0.218162336,0.241334391,0.242234347,0.239922318,0.239651416,0.246546172,0.268141678,0.274053896,0.242305671,0.274007245,0.292899408,0.290942006,0.271897414,0.270857965,0.240151356,0.233052965
Suicide,0.099518639,0.099663832,0.106723815,0.130550521,0.147587921,0.138778081,0.144652176,0.132180326,0.138846228,0.137075591,0.125562109,0.123983323,0.122009262,0.11514838,0.104651163,0.117925256,0.122724406,0.140323118
Kidney,0.001343334,0.00207633,0.000750067,0.000736294,0.001458592,0.001154734,0.000911993,0.000675184,0.001583797,0.000778286,0.000817614,0.001845397,0.00147929,0.00103446,0.001575744,0.001182337,0.001555602,0.001415723
Pneumonia & Influenza,0.043882234,0.048249951,0.022877043,0.02259855,0.033277511,0.026243964,0.047980949,0.049392334,0.038011135,0.029672147,0.091572738,0.037591415,0.034087986,0.031551044,0.032112584,0.029198581,0.023165861,0.023109594
Diabetes,0.013545282,0.02115879,0.010768819,0.014839148,0.01901572,0.021677514,0.019506511,0.017347045,0.022317143,0.019651717,0.015242656,0.021187889,0.023797273,0.025344281,0.027222343,0.029507017,0.023376077,0.022526649
Stroke,0.060002239,0.065948191,0.041843022,0.050464431,0.053697801,0.054744909,0.051274256,0.063103771,0.057160683,0.062749295,0.06307306,0.061923314,0.069976846,0.07202431,0.066018257,0.062406827,0.051755308,0.051882079
Lower Respiratory Disease,0.026083063,0.02323512,0.014358425,0.0150657,0.015828426,0.020785219,0.014845215,0.014438558,0.013918218,0.014495573,0.012556211,0.014626478,0.013377926,0.014353139,0.013964356,0.015421786,0.01400042,0.015947702
Terrorism,0.208440613,0.154538264,0.43182427,0.357782057,0.326562584,0.321331094,0.316613467,0.299262491,0.278508351,0.282663683,0.261869999,0.270658192,0.225045022,0.233982026,0.264670724,0.269110163,0.349548034,0.332569953
Alzheimer's Disease,0.007052502,0.009096302,0.005036164,0.00419121,0.004267733,0.005196305,0.004103967,0.004882102,0.005519294,0.005399358,0.004496876,0.005262798,0.005466941,0.005948148,0.004781569,0.002878733,0.000420433,4.16E-05
