Cause of Death,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Heart Disease,0.03610675,0.031409602,0.021671669,0.024259423,0.023748796,0.032501451,0.036529393,0.036938161,0.034594245,0.040246655,0.035976679,0.034095269,0.033747589,0.037886843,0.037030454,0.030169287,0.031251704,0.024838571
Cancer,0.240271007,0.261150834,0.141171084,0.14422793,0.145780196,0.151421938,0.167368752,0.165857684,0.184702785,0.221274019,0.218467081,0.228087486,0.227073066,0.217975264,0.185863254,0.199516324,0.17365694,0.134653465
Car Accidents,0.020656036,0.02442969,0.016787913,0.015648066,0.016323754,0.017353453,0.0186105,0.019172896,0.025356796,0.021747509,0.023036451,0.028558899,0.031015642,0.02915664,0.02186278,0.025272068,0.020725389,0.01902712
Overdose,0.002891845,0.001872659,0.001322684,0.001131778,0.001360313,0.001799187,0.001823326,0.001262013,0.002309362,0.001871937,0.002227805,0.002850408,0.003106921,0.002406402,0.001955208,0.003264813,0.003054268,0.003960396
Homicide,0.270180947,0.264555669,0.162537518,0.164796772,0.174856884,0.177074869,0.197485068,0.197310941,0.213800748,0.195947806,0.174384984,0.198596722,0.222894793,0.222955957,0.224789667,0.2356711,0.227379329,0.227507533
Suicide,0.075022722,0.077459993,0.06776212,0.098956796,0.104404013,0.09280325,0.114052185,0.102805553,0.109648515,0.103176788,0.09977722,0.106616236,0.104671095,0.102915664,0.096871667,0.10362757,0.099100082,0.107490314
Kidney,0.002478724,0.002128022,0.001577046,0.002017518,0.003344102,0.002437609,0.003332285,0.0028638,0.002032239,0.003633761,0.003507608,0.002631146,0.003481894,0.00335777,0.003554924,0.002841596,0.002508863,0.001764959
Pneumonia & Influenza,0.039329092,0.039240722,0.022078649,0.019387856,0.038542198,0.047417295,0.062181704,0.050820309,0.034778994,0.032483621,0.107977438,0.034753056,0.030479966,0.03486485,0.040822372,0.03573156,0.028742842,0.028885062
Diabetes,0.027431215,0.030473272,0.023197843,0.02170062,0.0268095,0.027974463,0.029676202,0.035142219,0.03685742,0.039035402,0.038014884,0.041879077,0.033051211,0.040964799,0.036615713,0.031983071,0.028306518,0.02389152
Stroke,0.067917045,0.06835206,0.036577301,0.036020077,0.040355949,0.042948346,0.04577177,0.049121445,0.047480486,0.059901999,0.051144713,0.063640849,0.064870366,0.068610443,0.059959711,0.05,0.045704936,0.050408954
Lower Respiratory Disease,0.02792696,0.027749404,0.018771939,0.012597185,0.023805475,0.018572258,0.018107513,0.017910882,0.021015196,0.016682266,0.01796464,0.020884723,0.017302336,0.018635626,0.016589643,0.018016929,0.011398964,0.011665949
Terrorism,0.178137652,0.158835546,0.478455512,0.451038284,0.392563623,0.376204295,0.294812952,0.312542472,0.276800148,0.25100479,0.212115467,0.223154086,0.213788301,0.206446919,0.259924162,0.24879081,0.315844014,0.355832975
Alzheimer's Disease,0.011650004,0.012342526,0.008088722,0.008217695,0.008105198,0.011491584,0.01024835,0.008251626,0.010623066,0.012993448,0.015405034,0.014252042,0.01451682,0.013822822,0.014160446,0.015114873,0.012326152,0.010073181
